ell,sf,sn,nlml,nlml_opt
-9.4,-3,0.05,106.545722736408,11.8990042523514
-9.4,-3,0.1,107.078579478017,11.8990042465868
-9.4,-3,0.5,120.21136436237,78.2882931126293
-9.4,-3,0.7,130.667530558433,78.2202269916437
-9.4,-3,1,148.996725752197,11.8990042465894
-9.4,-2.5,0.05,106.56020452239,11.8990042465847
-9.4,-2.5,0.1,107.102796394059,34.8380306532332
-9.4,-2.5,0.5,120.24852071101,78.235789196834
-9.4,-2.5,0.7,130.697200080968,78.2745787144864
-9.4,-2.5,1,149.015411811193,11.899026359077
-9.4,-0.5,0.05,108.854594093811,11.8990042465848
-9.4,-0.5,0.1,109.84432103015,11.8990042465868
-9.4,-0.5,0.5,123.308181353814,11.8990042465875
-9.4,-0.5,0.7,133.138935701218,11.8990075986848
-9.4,-0.5,1,150.567638284212,11.8990042465862
-9.4,-0.1,0.05,112.913404171405,11.8990042465844
-9.4,-0.1,0.1,114.004769613788,11.8990042465874
-9.4,-0.1,0.5,126.875556389385,11.8990042465867
-9.4,-0.1,0.7,135.996081953263,78.2601758959465
-9.4,-0.1,1,152.421188609411,11.8990042465864
-9.3,-3,0.05,106.545721951543,78.2201883020435
-9.3,-3,0.1,107.07857883515,78.3373057371123
-9.3,-3,0.5,120.211364232288,11.8990042465845
-9.3,-3,0.7,130.667530499948,11.8990042465855
-9.3,-3,1,148.996725734571,78.33730573736
-9.3,-2.5,0.05,106.56020240522,78.3373057333843
-9.3,-2.5,0.1,107.102794658666,78.3373057140991
-9.3,-2.5,0.5,120.248520358514,11.8990042465873
-9.3,-2.5,0.7,130.697199922323,11.8990042465852
-9.3,-2.5,1,149.015411763338,78.2201882406846
-9.3,-0.5,0.05,108.854528233875,11.899004246585
-9.3,-0.5,0.1,109.844264451047,62.8068824138977
-9.3,-0.5,0.5,123.308166348996,11.8990042465871
-9.3,-0.5,0.7,133.138928396194,11.8990042465849
-9.3,-0.5,1,150.567635909046,11.8990042465849
-9.3,-0.1,0.05,112.913318246654,11.8990042465852
-9.3,-0.1,0.1,114.004693200484,11.8990042465855
-9.3,-0.1,0.5,126.875530966321,11.8990042465835
-9.3,-0.1,0.7,135.996068564268,11.899004246586
-9.3,-0.1,1,152.421183888122,11.8990042465854
